Plate	Well	GeneID	Entrez_gene_ID	sub_lib
3	G06	CAMK1G	57172	KIN
3	G07	HSMDPKIN	55561	KIN
3	G08	STK10	6793	KIN
3	G09	AIP1	9863	KIN
3	G10	ABL1	25	KIN
3	G11	PAK6	56924	KIN
3	G12	PLK1	5347	KIN
3	H01	siCON2		
3	H02	FN3KRP	79672	KIN
3	H03	AKT2	208	KIN
3	H04	KIAA0999	23387	KIN
3	H05	PLK4	10733	KIN
3	H06	HIPK3	10114	KIN
3	H07	TYRO3	7301	KIN
3	H08	MAPK3	5595	KIN
3	H09	YES1	7525	KIN
3	H10	NYD-SP25	89882	KIN
3	H11	CDADC1	81602	KIN
3	H12	MOCK		
4	A01	MOCK		
4	A02	STK31	56164	KIN
4	A03	AKT3	10000	KIN
4	A04	NLK	51701	KIN
4	A05	PFKFB3	5209	KIN
4	A06	TESK2	10420	KIN
4	A07	EPHA7	2045	KIN
4	A08	STK35	140901	KIN
4	A09	STK11	6794	KIN
4	A10	JAK2	3717	KIN
4	A11	BRD2	6046	KIN
4	A12	allSTAR		
4	B01	siCON1		
4	B02	CDKN2C	1031	KIN
4	B03	MAP2K3	5606	KIN
4	B04	LCK	3932	KIN
4	B05	CIB2	10518	KIN
4	B06	AAK1	22848	KIN
4	B07	PIK3R2	5296	KIN
4	B08	IRAK2	3656	KIN
4	B09	ACVR1C	130399	KIN
4	B10	ACVR1B	91	KIN
4	B11	CPNE3	8895	KIN
4	B12	PLK1	5347	KIN
4	C01	siCON2		
4	C02	CAMK1	8536	KIN
4	C03	MARK3	4140	KIN
4	C04	MGC42105	167359	KIN
4	C05	CHEK1	1111	KIN
4	C06	SCAP1	8631	KIN
4	C07	CDC2L2	728642	KIN
4	C08	STK3	6788	KIN
4	C09	FLT4	2324	KIN
4	C10	CDC2L1	984	KIN
4	C11	MAP2K7	5609	KIN
4	C12	MOCK		
4	D01	allSTAR		
4	D02	EPHB6	2051	KIN
4	D03	MARK1	4139	KIN
4	D04	PRKAR2A	5576	KIN
4	D05	PINK1	65018	KIN
4	D06	MUSK	4593	KIN
4	D07	ULK2	9706	KIN
4	D08	MGC8407	79012	KIN
4	D09	AURKA	6790	KIN
4	D10	PAK4	10298	KIN
4	D11	MAPK1	5594	KIN
4	D12	siCON1		
4	E01	PLK1	5347	KIN
4	E02	MAST4	375449	KIN
4	E03	CKMT2	1160	KIN
4	E04	PIK3R3	8503	KIN
4	E05	ACVR2	92	KIN
4	E06	PRKWNK3	65267	KIN
4	E07	PRKCZ	5590	KIN
4	E08	ITK	3702	KIN
4	E09	CAMKK1	84254	KIN
4	E10	STK36	27148	KIN
4	E11	MAPK8	5599	KIN
4	E12	siCON2		
4	F01	MOCK		
4	F02	TGFBR1	7046	KIN
4	F03	CDK5R2	8941	KIN
4	F04	LOC91461	91461	KIN
4	F05	DKFZP761P0423	157285	KIN
4	F06	DUSTYPK	25778	KIN
4	F07	FLJ23356	84197	KIN
4	F08	PDK3	5165	KIN
4	F09	DGKA	1606	KIN
4	F10	C9ORF12	64768	KIN
4	F11	PTK6	5753	KIN
4	F12	allSTAR		
4	G01	siCON1		
4	G02	PAK1	5058	KIN
4	G03	RYK	6259	KIN
4	G04	PDXK	8566	KIN
4	G05	NEK8	284086	KIN
4	G06	GK	2710	KIN
4	G07	KSR2	283455	KIN
4	G08	PRKAR1A	5573	KIN
4	G09	NUP62	23636	KIN
4	G10	ROR2	4920	KIN
4	G11	PIP5K2C	79837	KIN
4	G12	PLK1	5347	KIN
4	H01	siCON2		
4	H02	ACVR1	90	KIN
4	H03	PRKACB	5567	KIN
4	H04	STK39	27347	KIN
4	H05	MATK	4145	KIN
4	H06	RPS6KB1	6198	KIN
4	H07	RFK	55312	KIN
4	H08	TTBK2	146057	KIN
4	H09	CDC42BPA	8476	KIN
4	H10	GSG2	83903	KIN
4	H11	HIPK1	204851	KIN
4	H12	MOCK		
5	A01	MOCK		
5	A02	MAP3K11	4296	KIN
5	A03	AURKB	9212	KIN
5	A04	LIMK2	3985	KIN
5	A05	GRK4	2868	KIN
5	A06	LOC340156	340156	KIN
5	A07	PRKX	5613	KIN
5	A08	GNE	10020	KIN
5	A09	PRKAR1B	5575	KIN
5	A10	MVK	4598	KIN
5	A11	PKIB	5570	KIN
5	A12	allSTAR		
5	B01	siCON1		
5	B02	CDK5	1020	KIN
5	B03	ADCK4	79934	KIN
5	B04	HRI	27102	KIN
5	B05	MAPKAPK3	7867	KIN
5	B06	ACVR2B	93	KIN
5	B07	EGFR	1956	KIN
5	B08	ROS1	6098	KIN
5	B09	HK3	3101	KIN
5	B10	DDR2	4921	KIN
5	B11	DAPK2	23604	KIN
5	B12	PLK1	5347	KIN
5	C01	siCON2		
5	C02	ITPK1	3705	KIN
5	C03	ILK-2	55522	KIN
5	C04	EPHA2	1969	KIN
5	C05	PHKG1	5260	KIN
5	C06	FUK	197258	KIN
5	C07	AK3	205	KIN
5	C08	CSNK2A2	1459	KIN
5	C09	VRK2	7444	KIN
5	C10	KALRN	8997	KIN
5	C11	ARAF1	369	KIN
5	C12	MOCK		
5	D01	allSTAR		
5	D02	BCR	613	KIN
5	D03	DCK	1633	KIN
5	D04	MGC16169	93627	KIN
5	D05	STK22D	83942	KIN
5	D06	SRP72	6731	KIN
5	D07	DGKI	9162	KIN
5	D08	CSK	1445	KIN
5	D09	IKBKAP	8518	KIN
5	D10	ADRBK2	157	KIN
5	D11	ICK	22858	KIN
5	D12	siCON1		
5	E01	PLK1	5347	KIN
5	E02	ADCK2	90956	KIN
5	E03	PI4K2B	55300	KIN
5	E04	TRIB3	57761	KIN
5	E05	FLJ23074	80122	KIN
5	E06	HIPK2	28996	KIN
5	E07	PRPS1	5631	KIN
5	E08	CSNK1D	1453	KIN
5	E09	DYRK3	8444	KIN
5	E10	TYK2	7297	KIN
5	E11	MYO3A	53904	KIN
5	E12	siCON2		
5	F01	TNKS		KIN
5	F02	SPHK1	8877	KIN
5	F03	ASK	10926	KIN
5	F04	PDGFRB	5159	KIN
5	F05	FGR	2268	KIN
5	F06	ROR1	4919	KIN
5	F07	CRK7	51755	KIN
5	F08	CDKN1B	1027	KIN
5	F09	PACSIN1	29993	KIN
5	F10	DAPK3	1613	KIN
5	F11	PIK3R1	5295	KIN
5	F12	allSTAR		
5	G01	siCON1		
5	G02	PRKY	5616	KIN
5	G03	MAP3K1	4214	KIN
5	G04	ZAP70	7535	KIN
5	G05	STK23	26576	KIN
5	G06	PTK7	5754	KIN
5	G07	RPS6KL1	83694	KIN
5	G08	RPS6KA6	27330	KIN
5	G09	SRPK1	6732	KIN
5	G10	PRKACA	5566	KIN
5	G11	PTK2B	2185	KIN
5	G12	PLK1	5347	KIN
5	H01	siCON2		
5	H02	MERTK	10461	KIN
5	H03	CERK	64781	KIN
5	H04	NUCKS	64710	KIN
5	H05	CIT	11113	KIN
5	H06	CDKL4	344387	KIN
5	H07	KIAA2002	79834	KIN
5	H08	OSR1	9943	KIN
5	H09	RAGE	5891	KIN
5	H10	BMPR2	659	KIN
5	H11	NRBP2	340371	KIN
5	H12	MOCK		
6	A01	MOCK		
6	A02	MAP2K4	6416	KIN
6	A03	FLJ13052	65220	KIN
6	A04	TLK2	11011	KIN
6	A05	TJP2	9414	KIN
6	A06	ADCK5	203054	KIN
6	A07	MAPK11	5600	KIN
6	A08	PGK2	5232	KIN
6	A09	BUB1B	701	KIN
6	A10	MAP2K5	5607	KIN
6	A11	LAK	80216	KIN
6	A12	allSTAR		
6	B01	siCON1		
6	B02	CDK7	1022	KIN
6	B03	LRRK1	79705	KIN
6	B04	FLJ25006	124923	KIN
6	B05	MAPK14	1432	KIN
6	B06	TBK1	29110	KIN
6	B07	ERN2	10595	KIN
6	B08	PRKCI	5584	KIN
6	B09	IKBKE	9641	KIN
6	B10	CSNK1A1L	122011	KIN
6	B11	PIP5K1A	8394	KIN
6	B12	PLK1	5347	KIN
6	C01	siCON2		
6	C02	STK17A	9263	KIN
6	C03	TEX14	56155	KIN
6	C04	MAPKAPK2	9261	KIN
6	C05	LTK	4058	KIN
6	C06	CASK	8573	KIN
6	C07	DYRK1B	9149	KIN
6	C08	SBK1	388228	KIN
6	C09	PCTK1	5127	KIN
6	C10	MAP3K4	4216	KIN
6	C11	STK38L	23012	KIN
6	C12	MOCK		
6	D01	allSTAR		
6	D02	MGC4796	83931	KIN
6	D03	PKIA	5569	KIN
6	D04	RBKS	64080	KIN
6	D05	PHKA1	5255	KIN
6	D06	ERN1	2081	KIN
6	D07	STYK1	55359	KIN
6	D08	ARK5	9891	KIN
6	D09	PIP5K1B	8395	KIN
6	D10	DGUOK	1716	KIN
6	D11	PANK3	79646	KIN
6	D12	siCON1		
6	E01	PLK1	5347	KIN
6	E02	SRPK2	6733	KIN
6	E03	CLK2	1196	KIN
6	E04	TGFBR2	7048	KIN
6	E05	STK22B	23617	KIN
6	E06	GAK	2580	KIN
6	E07	RPS6KA2	6196	KIN
6	E08	MAPK6	5597	KIN
6	E09	GRK7	131890	KIN
6	E10	ADRBK1	156	KIN
6	E11	CDK10	8558	KIN
6	E12	siCON2		
6	F01	TNKS		KIN
6	F02	CDKN1A	1026	KIN
6	F03	PANK2	80025	KIN
6	F04	EPHA3	2042	KIN
6	F05	PYCS	5832	KIN
6	F06	IHPK1	9807	KIN
6	F07	BRD4	23476	KIN
6	F08	TEC	7006	KIN
6	F09	FRDA	2395	KIN
6	F10	PRPS2	5634	KIN
6	F11	AK5	26289	KIN
6	F12	allSTAR		
6	G01	siCON1		
6	G02	MAST2	23139	KIN
6	G03	CDK5R1	8851	KIN
6	G04	WEE1	7465	KIN
6	G05	CDK6	1021	KIN
6	G06	CDKN2D	1032	KIN
6	G07	PRKCQ	5588	KIN
6	G08	PRKAG2	51422	KIN
6	G09	MAP3K3	4215	KIN
6	G10	FGFRL1	53834	KIN
6	G11	NME1	4830	KIN
6	G12	PLK1	5347	KIN
6	H01	siCON2		
6	H02	TNK1	8711	KIN
6	H03	STK29	9024	KIN
6	H04	NTRK3	4916	KIN
6	H05	LMTK2	22853	KIN
6	H06	DTYMK	1841	KIN
6	H07	PIK3R4	30849	KIN
6	H08	GCK	2645	KIN
6	H09	EPHB2	2048	KIN
6	H10	SGKL	23678	KIN
6	H11	DLG3	1741	KIN
6	H12	MOCK		
7	A01	MOCK		
7	A02	RET	5979	KIN
7	A03	MAP2K6	5608	KIN
7	A04	RPS6KC1	26750	KIN
7	A05	NME7	29922	KIN
7	A06	MAP3K10	4294	KIN
7	A07	UCK1	83549	KIN
7	A08	FGFR2	2263	KIN
7	A09	ERBB3	2065	KIN
7	A10	NEK3	4752	KIN
7	A11	COL4A3BP	10087	KIN
7	A12	allSTAR		
7	B01	siCON1		
7	B02	CDC2L5	8621	KIN
7	B03	ALK	238	KIN
7	B04	SPEG	10290	KIN
7	B05	TP53RK	112858	KIN
7	B06	EFNA5	1946	KIN
7	B07	MAPK13	5603	KIN
7	B08	TRIB2	28951	KIN
7	B09	DGKH	160851	KIN
7	B10	FRK	2444	KIN
7	B11	PIK3CB	5291	KIN
7	B12	PLK1	5347	KIN
7	C01	siCON2		
7	C02	KCNH2	3757	KIN
7	C03	CDKL1	8814	KIN
7	C04	NTRK2	4915	KIN
7	C05	AATK	9625	KIN
7	C06	PRKCG	5582	KIN
7	C07	STK38	11329	KIN
7	C08	PMVK	10654	KIN
7	C09	EPHA1	2041	KIN
7	C10	RAF1	5894	KIN
7	C11	PRKCSH	5589	KIN
7	C12	MOCK		
7	D01	allSTAR		
7	D02	PRKCD	5580	KIN
7	D03	ATR	545	KIN
7	D04	CAMK2A	815	KIN
