Plate	Well	GeneID	EntrezGene_ID	sublib
1	O18	EGF	1950	MET
1	O19	ATP5E	514	MET
1	O20	EGFR	1956	MET
1	O21	ATP5F1	515	MET
1	O22	EHHADH	1962	MET
1	O23			
1	O24			
1	P01			
1	P02			
1	P03	GRM7	2917	MET
1	P04	PAX2	5076	MET
1	P05	GSK3B	2932	MET
1	P06	PBX1	5087	MET
1	P07	GSR	2936	MET
1	P08	PC	5091	MET
1	P09	GYS1	2997	MET
1	P10	PCCB	5096	MET
1	P11	GYS2	2998	MET
1	P12	PCK1	5105	MET
1	P13	HADH2	3028	MET
1	P14	PCK2	5106	MET
1	P15	HADHA	3030	MET
1	P16	PDE3A	5139	MET
1	P17	HADHB	3032	MET
1	P18	PDE3B	5140	MET
1	P19	HADHSC	3033	MET
1	P20	PDGFA	5154	MET
1	P21	HAL	3034	MET
1	P22	PDGFB	5155	MET
1	P23			
1	P24			
2	A01			
2	A02			
2	A03	PDGFRA	5156	MET
2	A04	PRPSAP2	5636	MET
2	A05	PDHA1	5160	MET
4	I19	PGAM2	5224	PHO
2	A07	PDHA2	5161	MET
4	K07	PPP1CC	5501	PHO
2	A09	PDHB	5162	MET
4	B15	PPP1R3D	5509	PHO
2	A11	PDK1	5163	MET
4	N21	PTEN	5728	PHO
2	A13	PDPK1	5170	MET
2	A14	PYCR1	5831	MET
2	A15	PEX7	5191	MET
2	A16	PYCS	5832	MET
2	A17	PFAS	5198	MET
2	A18	PYGB	5834	MET
2	L06	SKIP	51763	MET
2	A20	PYGL	5836	MET
4	P17	BPGM	669	PHO
2	A22	PYGM	5837	MET
2	A23			
2	A24			
2	B01			
2	B02			
2	B03	BBOX1	8424	MET
2	B04	KIAA0433	23262	MET
2	B05	PIK3R3	8503	MET
2	B06	EXOC7	23265	MET
2	B07	LIPF	8513	MET
2	B08	MLYCD	23417	MET
2	B09	DGKD	8527	MET
2	B10	RHOQ	23433	MET
2	B11	CHST1	8534	MET
2	B12	GCAT	23464	MET
