Wells: 384		
Plates: 7		
Plate	Well	Content
*	*	sample
4	P01	plk1
4	P02	plk1
4	P23	plk1
4	P24	plk1
5	M01	plk1
5	M02	plk1
5	M23	plk1
5	M24	plk1
5	N01	plk1
5	N02	plk1
5	N23	plk1
5	N24	plk1
5	O01	plk1
5	O02	plk1
5	O23	plk1
5	O24	plk1
5	P01	plk1
5	P02	plk1
5	P23	plk1
5	P24	plk1
6	M01	plk1
6	M02	plk1
6	M23	plk1
6	M24	plk1
6	N01	plk1
6	N02	plk1
6	N23	plk1
6	N24	plk1
6	O01	plk1
6	O02	plk1
6	O23	plk1
6	O24	plk1
6	P01	plk1
6	P02	plk1
6	P23	plk1
6	P24	plk1
7	M01	plk1
7	M02	plk1
7	M23	plk1
7	M24	plk1
7	N01	plk1
7	N02	plk1
7	N23	plk1
7	N24	plk1
7	O01	plk1
7	O02	plk1
7	O23	plk1
7	O24	plk1
7	P01	plk1
7	P02	plk1
7	P23	plk1
7	P24	plk1
1	E01	sicon1
1	E02	sicon1
1	E23	sicon1
1	E24	sicon1
1	F01	sicon1
1	F02	sicon1
1	F23	sicon1
1	F24	sicon1
1	G01	sicon1
1	G02	sicon1
1	G23	sicon1
1	G24	sicon1
1	H01	sicon1
1	H02	sicon1
1	H23	sicon1
1	H24	sicon1
2	E01	sicon1
2	E02	sicon1
2	E23	sicon1
2	E24	sicon1
2	F01	sicon1
2	F02	sicon1
2	F23	sicon1
2	F24	sicon1
2	G01	sicon1
2	G02	sicon1
2	G23	sicon1
2	G24	sicon1
2	H01	sicon1
2	H02	sicon1
2	H23	sicon1
2	H24	sicon1
3	E01	sicon1
3	E02	sicon1
3	E23	sicon1
3	E24	sicon1
3	G01	sicon1
3	G02	sicon1
3	G23	sicon1
3	G24	sicon1
4	E01	sicon1
4	E02	sicon1
4	E23	sicon1
4	E24	sicon1
4	F01	sicon1
4	F02	sicon1
4	F23	sicon1
4	F24	sicon1
4	G01	sicon1
4	G02	sicon1
4	G23	sicon1
4	G24	sicon1
4	H01	sicon1
4	H02	sicon1
4	H23	sicon1
4	H24	sicon1
5	E01	sicon1
5	E02	sicon1
5	E23	sicon1
5	E24	sicon1
5	F01	sicon1
5	F02	sicon1
5	F23	sicon1
5	F24	sicon1
5	G01	sicon1
5	G02	sicon1
5	G23	sicon1
5	G24	sicon1
5	H01	sicon1
5	H02	sicon1
5	H23	sicon1
5	H24	sicon1
6	E01	sicon1
