Wells:	384
Plates:	3
Plate	Well	Content
*	*	sample
3 	 B12 	 empty 
3 	 B13 	 empty 
3 	 B14 	 empty 
3 	 B15 	 empty 
3 	 B16 	 empty 
3 	 B17 	 empty 
3 	 B18 	 empty 
3 	 B19 	 empty 
3 	 B20 	 empty 
3 	 B21 	 empty 
3 	 B22 	 empty 
3 	 B23 	 all star 
3 	 B24 	 empty 
3 	 C01 	 empty 
3 	 C02 	 all star 
3 	 C23 	 all star 
3 	 C24 	 empty 
3 	 D01 	 empty 
3 	 D02 	 all star 
3 	 D03 	 empty 
3 	 D04 	 empty 
3 	 D05 	 empty 
3 	 D06 	 empty 
3 	 D07 	 empty 
3 	 D08 	 empty 
3 	 D09 	 empty 
3 	 D10 	 empty 
3 	 D11 	 empty 
3 	 D12 	 empty 
3 	 D13 	 empty 
3 	 D14 	 empty 
3 	 D15 	 empty 
3 	 D16 	 empty 
3 	 D17 	 empty 
3 	 D18 	 empty 
3 	 D19 	 empty 
3 	 D20 	 empty 
3 	 D21 	 empty 
3 	 D22 	 empty 
3 	 D23 	 empty 
3 	 D24 	 empty 
3 	 E01 	 empty 
3 	 E02 	 sicon 1 
3 	 E23 	 sicon 1 
3 	 E24 	 empty 
3 	 F01 	 empty 
3 	 F02 	 sicon 1 
3 	 F03 	 empty 
3 	 F04 	 empty 
3 	 F05 	 empty 
3 	 F06 	 empty 
3 	 F07 	 empty 
3 	 F08 	 empty 
3 	 F09 	 empty 
3 	 F10 	 empty 
3 	 F11 	 empty 
3 	 F12 	 empty 
3 	 F13 	 empty 
3 	 F14 	 empty 
3 	 F15 	 empty 
3 	 F16 	 empty 
3 	 F17 	 empty 
3 	 F18 	 empty 
3 	 F19 	 empty 
3 	 F20 	 empty 
3 	 F21 	 empty 
3 	 F22 	 empty 
3 	 F23 	 empty 
3 	 F24 	 empty 
3 	 G01 	 empty 
3 	 G02 	 sicon 1 
3 	 G23 	 sicon 1 
3 	 G24 	 empty 
3 	 H01 	 empty 
3 	 H02 	 sicon 1 
3 	 H03 	 empty 
3 	 H04 	 empty 
3 	 H05 	 empty 
3 	 H06 	 empty 
3 	 H07 	 empty 
3 	 H08 	 empty 
3 	 H09 	 empty 
3 	 H10 	 empty 
3 	 H11 	 empty 
3 	 H12 	 empty 
3 	 H13 	 empty 
3 	 H14 	 empty 
3 	 H15 	 empty 
3 	 H16 	 empty 
3 	 H17 	 empty 
3 	 H18 	 empty 
3 	 H19 	 empty 
3 	 H20 	 empty 
3 	 H21 	 empty 
3 	 H22 	 empty 
3 	 H23 	 sicon 1 
3 	 H24 	 empty 
3 	 I01 	 empty 
3 	 I02 	 sicon 2 
3 	 I23 	 sicon 2 
3 	 I24 	 empty 
3 	 J01 	 empty 
3 	 J02 	 sicon 2 
3 	 J03 	 empty 
3 	 J04 	 empty 
3 	 J05 	 empty 
