Plate	Well	Condition_ID	GeneID
5	E08	40998688	CSNK1D
5	E09	40998689	DYRK3
5	E10	40998690	TYK2
5	E11	40998691	MYO3A
5	E12	40998692	siCON2
5	F01	40998693	TNKS
5	F02	40998694	SPHK1
5	F03	40998695	ASK
5	F04	40998696	PDGFRB
5	F05	40998697	FGR
5	F06	40998698	ROR1
5	F07	40998699	CRK7
5	F08	40998700	CDKN1B
5	F09	40998701	PACSIN1
5	F10	40998702	DAPK3
5	F11	40998703	PIK3R1
5	F12	40998704	allSTAR
5	G01	40998705	siCON1
5	G02	40998706	PRKY
5	G03	40998707	MAP3K1
5	G04	40998708	ZAP70
5	G05	40998709	STK23
5	G06	40998710	PTK7
5	G07	40998711	RPS6KL1
5	G08	40998712	RPS6KA6
5	G09	40998713	SRPK1
5	G10	40998714	PRKACA
5	G11	40998715	PTK2B
5	G12	40998716	PLK1
5	H01	40998717	siCON2
5	H02	40998718	MERTK
5	H03	40998719	CERK
5	H04	40998720	NUCKS
5	H05	40998721	CIT
5	H06	40998722	CDKL4
5	H07	40998723	KIAA2002
5	H08	40998724	OSR1
5	H09	40998725	RAGE
5	H10	40998726	BMPR2
5	H11	40998727	NRBP2
5	H12	40998728	MOCK
6	A01	40998729	MOCK
6	A02	40998730	MAP2K4
6	A03	40998731	FLJ13052
6	A04	40998732	TLK2
6	A05	40998733	TJP2
6	A06	40998734	ADCK5
6	A07	40998735	MAPK11
6	A08	40998736	PGK2
6	A09	40998737	BUB1B
6	A10	40998738	MAP2K5
6	A11	40998739	LAK
6	A12	40998740	allSTAR
6	B01	40998741	siCON1
6	B02	40998742	CDK7
6	B03	40998743	LRRK1
6	B04	40998744	FLJ25006
6	B05	40998745	MAPK14
6	B06	40998746	TBK1
6	B07	40998747	ERN2
6	B08	40998748	PRKCI
6	B09	40998749	IKBKE
6	B10	40998750	CSNK1A1L
6	B11	40998751	PIP5K1A
6	B12	40998752	PLK1
6	C01	40998753	siCON2
6	C02	40998754	STK17A
6	C03	40998755	TEX14
6	C04	40998756	MAPKAPK2
6	C05	40998757	LTK
6	C06	40998758	CASK
6	C07	40998759	DYRK1B
6	C08	40998760	SBK1
6	C09	40998761	PCTK1
6	C10	40998762	MAP3K4
6	C11	40998763	STK38L
6	C12	40998764	MOCK
6	D01	40998765	allSTAR
6	D02	40998766	MGC4796
6	D03	40998767	PKIA
6	D04	40998768	RBKS
6	D05	40998769	PHKA1
6	D06	40998770	ERN1
6	D07	40998771	STYK1
6	D08	40998772	ARK5
6	D09	40998773	PIP5K1B
6	D10	40998774	DGUOK
6	D11	40998775	PANK3
6	D12	40998776	siCON1
6	E01	40998777	PLK1
6	E02	40998778	SRPK2
6	E03	40998779	CLK2
6	E04	40998780	TGFBR2
6	E05	40998781	STK22B
6	E06	40998782	GAK
6	E07	40998783	RPS6KA2
6	E08	40998784	MAPK6
6	E09	40998785	GRK7
6	E10	40998786	ADRBK1
6	E11	40998787	CDK10
6	E12	40998788	siCON2
6	F01	40998789	TNKS
6	F02	40998790	CDKN1A
6	F03	40998791	PANK2
6	F04	40998792	EPHA3
6	F05	40998793	PYCS
6	F06	40998794	IHPK1
6	F07	40998795	BRD4
6	F08	40998796	TEC
6	F09	40998797	FRDA
6	F10	40998798	PRPS2
6	F11	40998799	AK5
6	F12	40998800	allSTAR
6	G01	40998801	siCON1
6	G02	40998802	MAST2
6	G03	40998803	CDK5R1
6	G04	40998804	WEE1
6	G05	40998805	CDK6
6	G06	40998806	CDKN2D
6	G07	40998807	PRKCQ
6	G08	40998808	PRKAG2
6	G09	40998809	MAP3K3
6	G10	40998810	FGFRL1
6	G11	40998811	NME1
6	G12	40998812	PLK1
6	H01	40998813	siCON2
6	H02	40998814	TNK1
6	H03	40998815	STK29
6	H04	40998816	NTRK3
6	H05	40998817	LMTK2
6	H06	40998818	DTYMK
6	H07	40998819	PIK3R4
6	H08	40998820	GCK
6	H09	40998821	EPHB2
6	H10	40998822	SGKL
6	H11	40998823	DLG3
6	H12	40998824	MOCK
7	A01	40998825	MOCK
7	A02	40998826	RET
7	A03	40998827	MAP2K6
7	A04	40998828	RPS6KC1
7	A05	40998829	NME7
7	A06	40998830	MAP3K10
7	A07	40998831	UCK1
7	A08	40998832	FGFR2
7	A09	40998833	ERBB3
7	A10	40998834	NEK3
7	A11	40998835	COL4A3BP
7	A12	40998836	allSTAR
7	B01	40998837	siCON1
7	B02	40998838	CDC2L5
7	B03	40998839	ALK
7	B04	40998840	SPEG
7	B05	40998841	TP53RK
7	B06	40998842	EFNA5
7	B07	40998843	MAPK13
7	B08	40998844	TRIB2
7	B09	40998845	DGKH
7	B10	40998846	FRK
7	B11	40998847	PIK3CB
7	B12	40998848	PLK1
7	C01	40998849	siCON2
7	C02	40998850	KCNH2
7	C03	40998851	CDKL1
7	C04	40998852	NTRK2
7	C05	40998853	AATK
7	C06	40998854	PRKCG
7	C07	40998855	STK38
7	C08	40998856	PMVK
7	C09	40998857	EPHA1
7	C10	40998858	RAF1
7	C11	40998859	PRKCSH
7	C12	40998860	MOCK
7	D01	40998861	allSTAR
7	D02	40998862	PRKCD
7	D03	40998863	ATR
7	D04	40998864	CAMK2A
7	D05	40998865	KDR
7	D06	40998866	TAF1
7	D07	40998867	CDK11
7	D08	40998868	SNARK
7	D09	40998869	SCYL1
7	D10	40998870	PRKAB2
7	D11	40998871	MGC4796
7	D12	40998872	siCON1
7	E01	40998873	PLK1
7	E02	40998874	STK32B
7	E03	40998875	MAP3K7IP1
7	E04	40998876	PRKR
7	E05	40998877	RIPK3
7	E06	40998878	ULK4
7	E07	40998879	SPHK2
7	E08	40998880	TESK1
7	E09	40998881	CSNK2B
7	E10	40998882	ERBB4
7	E11	40998883	PFKFB4
7	E12	40998884	siCON2
7	F01	40998885	MOCK
7	F02	40998886	PKMYT1
7	F03	40998887	PACE-1
7	F04	40998888	IKBKB
7	F05	40998889	MAP3K13
7	F06	40998890	CAMK1D
7	F07	40998891	IRAK3
7	F08	40998892	MOS
7	F09	40998893	PIP5K2B
7	F10	40998894	STK4
7	F11	40998895	BAIAP1
7	F12	40998896	allSTAR
7	G01	40998897	siCON1
7	G02	40998898	SLK
7	G03	40998899	CDKN1C
7	G04	40998900	PIP5K1C
7	G05	40998901	PFKL
7	G06	40998902	PCK1
7	G07	40998903	CDK9
7	G08	40998904	FGFR4
7	G09	40998905	CRKL
7	G10	40998906	RPS6KA5
7	G11	40998907	STK32C
7	G12	40998908	PLK1
7	H01	40998909	siCON2
7	H02	40998910	PRKD2
7	H03	40998911	CAMKK1
7	H04	40998912	LYK5
7	H05	40998913	COMMD3
7	H06	40998914	TK2
7	H07	40998915	CSNK2A1
7	H08	40998916	SRMS
7	H09	40998917	MAP4K2
7	H10	40998918	KIAA1811
7	H11	40998919	PDK1
7	H12	40998920	MOCK
8	A01	40998921	MOCK
8	A02	40998922	MELK
8	A03	40998923	PRKCH
8	A04	40998924	PAK3
8	A05	40998925	PFKFB1
8	A06	40998926	INSRR
8	A07	40998927	DLG2
8	A08	40998928	PIP5K3
8	A09	40998929	BMPR1A
8	A10	40998930	PRPS1L1
8	A11	40998931	IGF2R
8	A12	40998932	allSTAR
